,precision,recall,f1-score,support
Shih-Tzu,0.9544364508393285,0.9731051344743277,0.9636803874092009,409.0
Rhodesian Ridgeback,0.9474940334128878,0.9730392156862745,0.9600967351874244,408.0
Beagle,0.927360774818402,0.916267942583732,0.9217809867629362,418.0
English Foxhound,0.8571428571428571,0.8571428571428571,0.8571428571428571,224.0
Australian Terrier,0.9508599508599509,0.9650872817955112,0.9579207920792079,401.0
Border Terrier,0.9646464646464646,0.9385749385749386,0.9514321295143213,407.0
Golden Retriever,0.9627791563275434,0.9675810473815462,0.9651741293532339,401.0
Old English Sheepdog,0.988009592326139,0.976303317535545,0.9821215733015495,422.0
Samoyed,0.9953161592505855,0.9906759906759907,0.9929906542056075,429.0
Dingo,0.9605911330049262,0.9512195121951219,0.9558823529411765,410.0
accuracy,0.9554594044286078,0.9554594044286078,0.9554594044286078,0.9554594044286078
macro avg,0.9508636572629087,0.9508997238045845,0.9508222597897514,3929.0
weighted avg,0.9555439846793798,0.9554594044286078,0.9554398570562025,3929.0
